date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url
18-05-2024,1,Supernova,Saiko,84,190909,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c3f5b9580dfc96c80705424a
18-05-2024,2,EL TONTO,Lola Indigo,83,187986,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b273daab364ac14d96679b5639aa
18-05-2024,3,Acróstico,Shakira,81,170785,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273bd6bbd68940f38c764524b63
18-05-2024,4,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,3,FALSE,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
18-05-2024,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f
18-05-2024,6,Mami Chula,Jhayco & Quevedo,85,220600,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273cb950d94cb42ca9d03754578
18-05-2024,7,Classy 101,Feid & Young Miko,95,195986,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
18-05-2024,8,Clavaito,Chanel & Abraham Mateo,78,162740,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273441d55b86b1e5a3d4c3da232
18-05-2024,9,TQG,KAROL G,96,197933,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
18-05-2024,10,Yandel 150,Yandel,90,216148,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
18-05-2024,11,Nochentera,Vicco,81,202184,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27343eb3794977db60bced5ad16
18-05-2024,12,Todo Contigo,Álvaro De Luna,78,165527,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2737d45bffb03d186c1f4a47a83
18-05-2024,13,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
18-05-2024,14,Niña Bonita,Feid & Sean Paul,88,187653,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27347b049fcbcc571271cc88d9f
18-05-2024,15,PLAYA DEL INGLÉS,Quevedo,84,237525,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
18-05-2024,16,Rara Vez,Taiu & Milo j,92,128677,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100
18-05-2024,17,Coco Chanel,Eladio Carrion,92,208125,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
